Framework,Lot,Supplier,Customer,For_Month,Product_Service_Description,Total_Charge
G-Cloud III,4,Parity Group PLC,Office for National Statistics,2013-10-01l,SCS/Project / Programme Management,7904.6
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD licences,8840
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,20180
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,18805.6
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,3525
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,3840
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,3840
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,2560
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,2560
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,1280
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,2560
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,1340.34
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,5120
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,1280
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,2530.49
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,6400
G-Cloud III,3,QINETIQ COMMERCE DECISIONS LTD,Defence Equipment and Support DEandS,2013-10-01l,AWARD consultancy,3840
G-Cloud III,4,Quo Imus Ltd,Electoral Commission,2013-10-01l,Work Package 1,2385
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-10-01l,SFW Agile Development Services,8661.45
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-10-01l,SFW Agile Development Services,9791.45
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-10-01l,SFW Agile Development Services,917.7
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-10-01l,SFW Agile Development Services,11865
G-Cloud III,4,SFW Ltd,Homes and Communities Agency,2013-10-01l,SFW Agile Development Services,2073.55
G-Cloud III,4,SFW Ltd,Passenger Focus,2013-10-01l,SFW Agile Development Services,2753.24
G-Cloud III,4,SFW Ltd,House of Commons,2013-10-01l,SFW Agile Development Services,1480
G-Cloud III,4,SFW Ltd,House of Commons,2013-10-01l,SFW Agile Development Services,11500
G-Cloud III,4,SFW Ltd,House of Commons,2013-10-01l,SFW Agile Development Services,18000
G-Cloud III,4,SFW Ltd,HM Treasury,2013-10-01l,SFW Agile Development Services,14950
G-Cloud III,4,SFW Ltd,Heritage Lottery Fund,2013-10-01l,SFW Agile Development Services,14190
G-Cloud III,4,SFW Ltd,Heritage Lottery Fund,2013-10-01l,SFW Agile Development Services,3430.98
G-Cloud III,4,SFW Ltd,Heritage Lottery Fund,2013-10-01l,SFW Agile Development Services,2659.91
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,Department for Work And Pensions,2013-10-01l,Compute,837.61
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,Government Procurement Service,2013-10-01l,Compute,15019.82
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,Government Procurement Service,2013-10-01l,Compute,88147.83
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,Ministry of Defence,2013-10-01l,Compute,394.97
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-10-01l,Compute,39.17
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,HM Revenue and Customs,2013-10-01l,Compute,40954.62
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,Driver and Vehicle Licensing Agency,2013-10-01l,Compute,5834.85
G-Cloud III,1,SKYSCAPE CLOUD SERVICES LTD,Vehicle and Operator Services Agency,2013-10-01l,Compute,937.15
G-Cloud III,4,SMARTSOURCING P L C,Cabinet Office,2013-10-01l,Scala Developer,5240
G-Cloud III,4,SMARTSOURCING P L C,Civil Aviation Authority,2013-10-01l,Payroll and Accounting,1596.87
G-Cloud III,4,SMARTSOURCING P L C,Cabinet Office,2013-10-01l,Scala Developer,2620
G-Cloud III,4,SMARTSOURCING P L C,Cabinet Office,2013-10-01l,Scala Developer,9170
G-Cloud III,4,SMARTSOURCING P L C,Cabinet Office,2013-10-01l,Scala Developer,5240
G-Cloud III,3,SOFTCAT LTD,London Borough of Hounslow Council,2013-10-01l,Box - 1250 Enterprise Users 24 months including Installation and Support,156000
G-Cloud III,3,SOFTCAT LTD,London Borough of Hounslow Council,2013-10-01l,Box - 1250 Enterprise Users 24 months including Installation and Support,156000
G-Cloud III,3,SOFTCAT LTD,London Borough of Hounslow Council,2013-10-01l,AirWatch Cloud Quick Start Pack - Hosted,325
G-Cloud III,3,SOFTCAT LTD,London Borough of Hounslow Council,2013-10-01l,Email Client,396
G-Cloud III,3,SOFTCAT LTD,London Borough of Hounslow Council,2013-10-01l,AirWatch MDM MAM MEM - License  - 12 Months,2460
G-Cloud III,3,SOFTCAT LTD,London Borough of Hounslow Council,2013-10-01l,AirWatch MDM MAM MEM - Hosting - Shared Cloud - 10 Users - 12 Months,600
G-Cloud III,3,SOFTCAT LTD,Royal Borough of Kingston upon Thames Council,2013-10-01l,AirWatch MDM MAM MEM - License  - 12 Months,1230
G-Cloud III,3,SOFTCAT LTD,Royal Borough of Kingston upon Thames Council,2013-10-01l,AirWatch MDM MAM MEM - Hosting - Shared Cloud - 10 Users - 12 Months,300
G-Cloud III,4,Solirius Ltd,Ministry of Justice,2013-10-01l,Technical Architecture Support,8600
G-Cloud III,4,Solirius Ltd,Ministry of Justice,2013-10-01l,Technical Architecture Support,9175
G-Cloud III,4,Solirius Ltd,Ministry of Justice,2013-10-01l,Technical Architecture Support,32500
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Compute,7568
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Compute,1480
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Compute,2880
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Compute,330
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Compute,78
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Compute,506.84
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Compute,53.2
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Storage,1128
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Storage,528
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Compute,8280
G-Cloud III,1,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Compute,4454
G-Cloud III,4,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,INFORMATION ASSURANCE,17000
G-Cloud III,4,SPECIALIST COMPUTER CENTRE,Civil Aviation Authority,2013-10-01l,Deployment Services,2250
G-Cloud III,3,SQUIZ UK LTD,Cardiff University,2013-10-01l,extension to CMS project scope,17733.4
G-Cloud III,3,Starfish CI Ltd,Environment Agency,2013-10-01l,SAAS,1600
G-Cloud III,4,Steria Ltd,Ministry of Justice,2013-10-01l,Hyperion DO Extension-Aug 13 Call Off,43615
G-Cloud III,4,Steria Ltd,Ministry of Justice,2013-10-01l,Hyperion DO Extension-Sep 13 Call Off,32697.5
G-Cloud III,4,Steria Ltd,Ministry of Justice,2013-10-01l,Support Charges - Sep 2013,12444.64
G-Cloud III,4,Steria Ltd,Ministry of Justice,2013-10-01l,Hyperion DO Extension-Sep 13 Call Off,11590
G-Cloud III,2,System Associates Ltd,Coal Authority The,2013-10-01l,Inferis hosting,5000
G-Cloud III,4,SystemsUp ltd,MARITIME and COAST GUARD AGENCY,2013-10-01l,Desktop Deployment Service,4080
G-Cloud III,4,THE ENGINE GROUP LTD,Office of the Public Guardian,2013-10-01l,Core Systems Replacement,256725
G-Cloud III,4,THE ENGINE GROUP LTD,Office of the Public Guardian,2013-10-01l,LPA Beta Development,14375
G-Cloud III,4,THE ENGINE GROUP LTD,Cabinet Office,2013-10-01l,Supplemental Services Ruby Extension,11875
G-Cloud III,4,THE ENGINE GROUP LTD,Cabinet Office,2013-10-01l,Supplemental Services Ruby Extension,2500
G-Cloud III,4,THE ENGINE GROUP LTD,Home Office,2013-10-01l,Digital Communications Development Service,34300
G-Cloud III,4,The Test People Ltd.,Public Health England,2013-10-01l,G-Cloud III (RM1557/iii) Lot 4: Specialist Cloud Services Senior Performance Consultant,650
G-Cloud III,4,The Test People Ltd.,Public Health England,2013-10-01l,G-Cloud III (RM1557/iii) Lot 4: Specialist Cloud Services Performance Consultant,1110
G-Cloud III,4,Triad Group Plc,Vehicle Certification Agency,2013-10-01l,Design & Development,21250
G-Cloud III,4,TYR Security Ltd,Ministry of Justice,2013-10-01l,Secure Destruction,600
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,2700
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,3500
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,5000
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,3625
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,2400
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,4500
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,4000
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,4000
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,3600
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,250
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,3150
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,2200
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,8100
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,13600
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,9600
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,17000
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,11400
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,13050
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,16200
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,14400
G-Cloud III,4,Valtech Ltd,Vehicle and Operator Services Agency,2013-10-01l,ICT Modernisation Programme,16200
G-Cloud III,4,VisionWare Limited,Rural Payments Agency,2013-10-01l,Services,12000
G-Cloud Services II,4,ENCIRCLE SOLUTIONS LTD.,Home Office,2013-09-01l,CMS Managed Service,557.65
G-Cloud Services II,4,ENCIRCLE SOLUTIONS LTD.,Home Office,2013-09-01l,CMS Managed Service,510.15
G-Cloud Services II,4,ENCIRCLE SOLUTIONS LTD.,Home Office,2013-09-01l,CMS Managed Service,557.65
G-Cloud Services II,4,ENCIRCLE SOLUTIONS LTD.,Home Office,2013-09-01l,CMS Managed Service,510.15
G-Cloud Services II,4,ENCIRCLE SOLUTIONS LTD.,Home Office,2013-09-01l,CMS Managed Service,1350
G-Cloud Services II,4,ENCIRCLE SOLUTIONS LTD.,Home Office,2013-09-01l,CMS Managed Service,557.65
G-Cloud Services II,4,ENCIRCLE SOLUTIONS LTD.,Home Office,2013-09-01l,CMS Managed Service,587
G-Cloud Services II,3,P3M Systems Ltd,Transport for London,2013-09-01l,CONNECT - Add On Software - Data Bridge,11000
G-Cloud Services II,4,P3M Systems Ltd,Transport for London,2013-09-01l,Professional Services from SFIA Level 4 Resource,18400
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-10-01l,Consultancy for cloud based Drupal,5625
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-10-01l,Consultancy for cloud based Drupal,5300
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-10-01l,Consultancy for cloud based Drupal,1000
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-10-01l,Consultancy for cloud based Drupal,1500
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-10-01l,Consultancy for cloud based Drupal,38250
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-10-01l,Consultancy for cloud based Drupal,300
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-10-01l,Consultancy for cloud based Drupal,63395
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-10-01l,Consultancy for cloud based Drupal,98000
G-Cloud Services II,4,enCircle Solutions Ltd.,Home Office,2013-10-01l,CMS Managed Service,557.65
G-Cloud Services II,4,enCircle Solutions Ltd.,Home Office,2013-10-01l,CMS Managed Service,557.65
G-Cloud Services II,4,enCircle Solutions Ltd.,Home Office,2013-10-01l,CMS Managed Service,557.65
G-Cloud Services II,4,Equal Experts,HM Revenue and Customs,2013-10-01l,Bespoke Software Development,12375
G-Cloud Services II,4,Equal Experts,HM Revenue and Customs,2013-10-01l,Bespoke Software Development,367725
G-Cloud Services II,4,Equal Experts,HM Revenue and Customs,2013-10-01l,Bespoke Software Development,7287.65
G-Cloud Services II,4,Equal Experts,Home Office,2013-10-01l,Bespoke Software Development,10575
G-Cloud Services II,4,Equal Experts,Home Office,2013-10-01l,Bespoke Software Development,25248.51
G-Cloud Services II,4,Equal Experts,Home Office,2013-10-01l,Bespoke Software Development,-5250
G-Cloud Services II,4,Equal Experts,Home Office,2013-10-01l,Bespoke Software Development,38062.5
G-Cloud Services II,4,Equal Experts,Home Office,2013-10-01l,Bespoke Software Development,16312.5
G-Cloud Services II,4,Equal Experts,Home Office,2013-10-01l,Bespoke Software Development,6075
G-Cloud Services II,4,Equal Experts,Home Office,2013-10-01l,Bespoke Software Development,14619.96
G-Cloud Services II,4,Equal Experts,Home Office,2013-10-01l,Bespoke Software Development,5175
G-Cloud Services II,4,Equal Experts,Home Office,2013-10-01l,Bespoke Software Development,12075
G-Cloud Services II,3,Newvoicemedia Ltd,Financial Services Authority,2013-10-01l,Call Recording Upgrade,5000
G-Cloud Services II,3,Newvoicemedia Ltd,Financial Services Authority,2013-10-01l,Sandbox Premium Support,2611.22
G-Cloud Services II,3,Newvoicemedia Ltd,Financial Services Authority,2013-10-01l,ContactWorld for Salesforce Sandbox Licensing,26112
G-Cloud Services II,4,P3M Systems Ltd,Transport for London,2013-10-01l,Professional Services from SFIA Level 4 Resource,12800
G-Cloud Services II,3,Zendesk,Government Digital Service,2013-10-01l,Custom Development/Training,937.5
G-Cloud Services II,3,Zendesk,Government Digital Service,2013-10-01l,Zendesk Enterprise Plan Monthly fee- 04/11/2013-03/12/2013,12500
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,NOMS Technical Delivery Assurance,178801
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-11-01l,IaaS contract set-up support,11175
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,HQ  ALB Technical Delivery Assurance,5100
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-11-01l,roduction of Schools Performance Data Service (SPDP) Intergration Plan,33562.5
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,35 NOMS Rehabilitation Programme,30600
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,HQ  ALB Technical Delivery Assurance,39950
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,NOMS Technical Delivery Assurance,18275
G-Cloud Services II,4,Actica Consulting Ltd,UK Trade and Investment,2013-11-01l,Cloud Readiness Assessment,4500
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-11-01l,SIAM Requirement,5250
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,NOMS Technical Delivery Assurance,3400
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-11-01l,PM of Development  Imp of Evolve Project,15750
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-11-01l,EFA Systems Programme Discovery,64375
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,HQ  ALB Technical Delivery Assurance,17000
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,NOMS Technical Delivery Assurance,16150
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-11-01l,Security Business Continuity ST7,17375
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,NOMS Technical Delivery Assurance,31167
G-Cloud Services II,4,Actica Consulting Ltd,Ministry of Justice,2013-11-01l,HQ  ALB Technical Delivery Assurance,12750
G-Cloud Services II,4,Actica Consulting Ltd,Department for Education,2013-11-01l,PM of Development  Imp of Evolve Project,17250
G-Cloud Services II,4,Alpine Resourcing Limited,House of Commons,2013-11-01l,Project / Programme Management,2105.26
G-Cloud Services II,4,Alpine Resourcing Limited,Department for Environment Food And Rural Affairs,2013-11-01l,Project / Programme Management,15164
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,7980
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,7980
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,5300
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,5928
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,3376
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,19285
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,14700
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,4845
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,4880
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,3900
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,4800
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,4410
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,6050
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,4320
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,6650
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,4240
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,3952
G-Cloud Services II,4,Amor Business Technology Solutions Ltd,Student Loans Company Limited,2013-11-01l,Project and Programme Management,2110
G-Cloud Services II,4,APTO SOLUTIONS LTD,Cabinet Office,2013-11-01l,Agile Project Services,1080
G-Cloud Services II,4,Atkins Ltd,Department for Education,2013-11-01l,Schools Performance Data project - Expenses incurred in September 2013,898.1
G-Cloud Services II,4,Atkins Ltd,Department for Education,2013-11-01l,Schools Performance Data project for September 2013,153164.21
G-Cloud Services II,4,Atkins Ltd,Department for Education,2013-11-01l,Schools Performance Data project - Expenses incurred in October 2013,434.93
G-Cloud Services II,4,Atkins Ltd,Department for Education,2013-11-01l,Schools Performance Data project for October 2013,146980.6
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-11-01l,Consultancy for cloud based Drupal,32730
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-11-01l,Consultancy for cloud based Drupal,7800
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-11-01l,Consultancy for cloud based Drupal,4250
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-11-01l,Consultancy for cloud based Drupal,37765
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-11-01l,Consultancy for cloud based Drupal,3648
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-11-01l,Consultancy for cloud based Drupal,29075
G-Cloud Services II,4,Axis12 Ltd,Care Quality Commission,2013-11-01l,Consultancy for cloud based Drupal,5295
G-Cloud Services II,4,Bit Zesty,Cabinet Office,2013-11-01l,Technical Architect,136
G-Cloud Services II,4,Bit Zesty,Cabinet Office,2013-11-01l,Agile Project Manager,308
G-Cloud Services II,4,Bit Zesty,Cabinet Office,2013-11-01l,Ruby on Rails Support Offsite,180
G-Cloud Services II,4,BravoSolution,HS2 Ltd.,2013-11-01l,Licences/Consultancy,18834
G-Cloud Services II,4,BravoSolution,HS2 Ltd.,2013-11-01l,Licences/Consultancy,62350
G-Cloud Services II,4,Cassidian CyberSecurity Limited,Cabinet Office,2013-11-01l,PSN Cyber Advisory/Alerts,4500
G-Cloud Services II,3,CONNECT INTERNET SOLUTIONS LTD,Charity Commission for England and Wales,2013-11-01l,Cloud Open Source CMS (Umbraco),416
G-Cloud Services II,3,CONNECT INTERNET SOLUTIONS LTD,Charity Commission for England and Wales,2013-11-01l,Cloud Open Source CMS (Umbraco),3186
G-Cloud Services II,1,Dell Corporation Ltd,Strathclyde Fire and Rescue Service,2013-11-01l,Dell V Cloud Reserved Capacity,2469
G-Cloud Services II,4,enCircle Solutions Ltd.,Home Office,2013-11-01l,CMS Managed Service,557.65
G-Cloud Services II,4,enCircle Solutions Ltd.,Home Office,2013-11-01l,CMS Managed Service,557.65
G-Cloud Services II,4,enCircle Solutions Ltd.,Home Office,2013-11-01l,CMS Managed Service,510.15
G-Cloud Services II,4,enCircle Solutions Ltd.,Home Office,2013-11-01l,CMS Managed Service,1115.3
G-Cloud Services II,4,Fivium Limited,Marine Management Organisation,2013-11-01l,FOXopen Cloud Development and Support Services,24277
G-Cloud Services II,3,Fivium Limited,Department For Business Innovation And Skills,2013-11-01l,eCase Correspondence Handling and Case Management IL3,22169
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-11-01l,HTK HORIZON SOFTWARE,1530
G-Cloud Services II,3,HTK Ltd,Department for Environment Food And Rural Affairs,2013-11-01l,HTK HORIZON SOFTWARE,33800
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-11-01l,HTK HORIZON SOFTWARE,500
G-Cloud Services II,3,HTK Ltd,Centre for Environment Fisheries and Aquaculture Science,2013-11-01l,HTK HORIZON TRANSACTIONS,245.44
G-Cloud Services II,3,HTK Ltd,Rural Payments Agency,2013-11-01l,HTK HORIZON SOFTWARE,570
G-Cloud Services II,4,i2N,Ministry of Justice,2013-11-01l,SFIA Consultancy,88322
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Consultant,11275
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Consultant,19380
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Consultant,19475
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Consultant,16200
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Consultant,2530.88
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Consultant,22550
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Consultant,22287
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Consultant,8200
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Consultant,20700
G-Cloud Services II,4,IBM United Kingdom Ltd,Home Office,2013-11-01l,Oracle OPA Resource,73737
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon,2013-11-01l,Expenses,111.34
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Hillingdon,2013-11-01l,Consultancy - workflow,540
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Enfield Council,2013-11-01l,Consultancy - training,1000
G-Cloud Services II,3,IKEN BUSINESS LTD,London Borough of Enfield Council,2013-11-01l,Expenses,194.99
G-Cloud Services II,3,IKEN BUSINESS LTD,Dacorum Borough Council,2013-11-01l,Consultancy - database configuration,1500
G-Cloud Services II,3,IKEN BUSINESS LTD,Dacorum Borough Council,2013-11-01l,Consultancy - installation,1500
G-Cloud Services II,3,IKEN BUSINESS LTD,Dacorum Borough Council,2013-11-01l,Consultancy - training,3000
G-Cloud Services II,3,IKEN BUSINESS LTD,Dacorum Borough Council,2013-11-01l,Consultancy - project management,750
G-Cloud Services II,3,IKEN BUSINESS LTD,Dacorum Borough Council,2013-11-01l,Expenses,799.71
G-Cloud Services II,3,IKEN BUSINESS LTD,Hampshire Constabulary,2013-11-01l,Consultancy - training,1828.14
G-Cloud Services II,3,IKEN BUSINESS LTD,Hampshire Constabulary,2013-11-01l,Expenses,277.54
G-Cloud Services II,4,Info-Assure,Home Office,2013-11-01l,IT Security,4550
G-Cloud Services II,4,Info-Assure,Ministry of Justice,2013-11-01l,IT Security,5600
G-Cloud Services II,4,Info-Assure,Lancashire Probation Trust,2013-11-01l,IT Security,700
G-Cloud Services II,4,Info-Assure,Home Office,2013-11-01l,IT Security,175
G-Cloud Services II,4,Info-Assure,Department for Education,2013-11-01l,IT Security,1400
G-Cloud Services II,4,Info-Assure,Department for Education,2013-11-01l,IT Security,101.57
G-Cloud Services II,3,INFORMED SOLUTIONS LTD,Cabinet Office,2013-11-01l,WMP,15750
G-Cloud Services II,1,INTEROUTE COMMUNICATIONS LTD,Houses of Parliament,2013-11-01l,Virtual Data centre Service,142.66
